ID,Season,Team Name,Arena,Games (G),Wins (W),Losses (L),Win/Loss Percentage (W/L%),Minutes Played (MP),Pace Factor (Pace),Relative Pace,Offensive Rating (ORtg),Relative Offensive Rating,Defensive Rating (DRtg),Relative Defensive Rating,Points Per Game (Pts/G),Opponent Points Per Game (Opp Pts/G),Field Goals Made (FG),Field Goal Attempts (FGA),Field Goal Percentage (FG%),3-Point Field Goals Made (3P),3-Point Field Goal Attempts (3PA),3-Point Field Goal Percentage (3P%),2-Point Field Goals Made (2P),2-Point Field Goal Attempts (2PA),2-Point Field Goal Percentage (2P%),Effective Field Goal Percentage (eFG%),Free Throws Made (FT),Free Throw Attempts (FTA),Free Throw Percentage (FT%),FT/FGA,Offensive Rebounds (ORB),Offensive Rebound Percentage (ORB%),Defensive Rebounds (DRB),Defensive Rebound Percentage (DRB%),Total Rebounds (TRB),Total Rebounds Per Game,Total Rebound Percentage (TRB%),Assists (AST),Assist Percentage (AST%),Assists Per Game,Steals (STL),Steal Percentage (STL%),Steals Per Game,Blocks (BLK),Block Percentage (BLK%),Blocks Per Game,Turnovers (TOV),Turnover Percentage (TOV%),Turnovers Per Game,Personal Fouls (PF),Personal Fouls Per Game,Points (PTS),Points Per Game,Standing,Conference Standing,Playoff result,Conference Champion,Champion
123,2024,Cleveland Cavaliers,Rocket Mortgage Fieldhouse,82,48,34,0.585,19805,97.2,-1.3,115.2,-0.1,112.7,-2.6,112.6,110.2,3425,7148,0.479,1108,3016,0.367,2317,4132,0.561,0.557,1278,1671,0.765,0.179,807,23.2,2742,76.9,3549,43.3,,2299,,28.0,605,,7.4,380,,4.6,1112,,13.6,1436,17.5,9236,112.6,11,4,Eastern Conference Semifinals,0,0
124,2024,Orlando Magic,Kia Center,82,47,35,0.573,19780,96.9,-1.6,113.4,-1.9,111.3,-4.0,110.5,108.4,3318,6964,0.476,903,2568,0.352,2415,4396,0.549,0.541,1519,2002,0.759,0.218,861,25.3,2608,78.1,3469,42.3,,2023,,24.7,669,,8.2,423,,5.2,1206,,14.7,1618,19.7,9058,110.5,12,5,Eastern Conference First Round,0,0
125,2024,Indiana Pacers,Gainbridge Fieldhouse,82,47,35,0.573,19705,101.7,3.2,121.0,5.7,118.0,2.7,123.3,120.2,3855,7599,0.507,1082,2891,0.374,2773,4708,0.589,0.578,1318,1685,0.782,0.173,827,23.8,2578,74.1,3405,41.5,,2522,,30.8,631,,7.7,481,,5.9,1059,,12.9,1756,21.4,10110,123.3,13,6,Eastern Conference Finals,0,0
126,2024,Philadelphia 76ers,Wells Fargo Center,82,47,35,0.573,19780,97.5,-1.0,116.9,1.6,113.8,-1.5,114.6,111.5,3404,7331,0.464,992,2733,0.363,2412,4598,0.525,0.532,1597,1934,0.826,0.218,906,24.8,2616,74.3,3522,43.0,,2041,,24.9,694,,8.5,492,,6.0,984,,12.0,1668,20.3,9397,114.6,14,7,Eastern Conference First Round,0,0
127,2024,Miami Heat,Kaseya Center,82,46,36,0.561,19755,96.2,-2.3,114.0,-1.3,112.2,-3.1,110.1,108.4,3266,7022,0.465,1022,2765,0.37,2244,4257,0.527,0.538,1478,1806,0.818,0.21,766,21.8,2702,78.1,3468,42.3,,2116,,25.8,617,,7.5,280,,3.4,1038,,12.7,1415,17.3,9032,110.1,16,8,Eastern Conference First Round,0,0
128,2024,Chicago Bulls,United Center,82,39,43,0.476,19980,96.3,-2.2,114.9,-0.4,116.3,1.0,112.3,113.7,3448,7339,0.47,941,2630,0.358,2507,4709,0.532,0.534,1369,1731,0.791,0.187,916,25.1,2677,76.4,3593,43.8,,2048,,25.0,638,,7.8,394,,4.8,1004,,12.2,1541,18.8,9206,112.3,20,9,Not Qualified,0,0
129,2024,Atlanta Hawks,State Farm Arena,82,36,46,0.439,19855,100.1,1.6,117.2,1.9,119.4,4.1,118.3,120.5,3529,7584,0.465,1125,3092,0.364,2404,4492,0.535,0.539,1520,1906,0.797,0.2,1024,27.1,2639,75.2,3663,44.7,,2180,,26.6,615,,7.5,369,,4.5,1110,,13.5,1522,18.6,9703,118.3,21,10,Not Qualified,0,0
130,2024,Brooklyn Nets,Barclays Center,82,32,50,0.39,19805,96.9,-1.6,113.2,-2.1,116.1,0.8,110.4,113.3,3334,7307,0.456,1089,3010,0.362,2245,4297,0.522,0.531,1293,1711,0.756,0.177,938,25.2,2675,76.0,3613,44.1,,2102,,25.6,556,,6.8,424,,5.2,1076,,13.1,1516,18.5,9050,110.4,22,11,Not Qualified,0,0
131,2024,Toronto Raptors,Scotiabank Arena,82,25,57,0.305,19805,99.4,0.9,112.3,-3.0,118.8,3.5,112.4,118.8,3466,7356,0.471,942,2712,0.347,2524,4644,0.543,0.535,1339,1772,0.756,0.182,891,24.2,2607,73.9,3498,42.7,,2335,,28.5,634,,7.7,388,,4.7,1147,,14.0,1509,18.4,9213,112.4,25,12,Not Qualified,0,0
132,2024,Charlotte Hornets,Spectrum Center,82,21,61,0.256,19730,97.3,-1.2,109.3,-6.0,119.8,4.5,106.6,116.8,3281,7133,0.46,989,2788,0.355,2292,4345,0.528,0.529,1189,1512,0.786,0.167,765,21.1,2538,74.5,3303,40.3,,2033,,24.8,562,,6.9,371,,4.5,1129,,13.8,1472,18.0,8740,106.6,27,13,Not Qualified,0,0
133,2024,Washington Wizards,Capital One Arena,82,15,67,0.183,19730,102.7,4.2,110.5,-4.8,119.6,4.3,113.7,123.0,3523,7493,0.47,1015,2915,0.348,2508,4578,0.548,0.538,1266,1657,0.764,0.169,755,20.0,2613,72.5,3368,41.1,,2288,,27.9,623,,7.6,415,,5.1,1147,,14.0,1637,20.0,9327,113.7,29,14,Not Qualified,0,0
134,2024,Detroit Pistons,Little Caesars Arena,82,14,68,0.171,19755,99.8,1.3,109.7,-5.6,118.8,3.5,109.9,119.0,3353,7236,0.463,906,2602,0.348,2447,4634,0.528,0.526,1398,1780,0.785,0.193,861,23.9,2692,77.3,3553,43.3,,2088,,25.5,531,,6.5,384,,4.7,1248,,15.2,1688,20.6,9010,109.9,30,15,Not Qualified,0,0
135,2024,Oklahoma City Thunder,Paycom Center,82,57,25,0.695,19805,99.8,1.3,119.5,4.2,112.1,-3.2,120.1,112.7,3653,7324,0.499,1090,2805,0.389,2563,4519,0.567,0.573,1451,1759,0.825,0.198,722,21.1,2725,73.8,3447,42.0,,2223,,27.1,694,,8.5,538,,6.6,1039,,12.7,1545,18.8,9847,120.1,2,1,Western Conference Semifinals,0,0
136,2024,Denver Nuggets,Ball Arena,82,57,25,0.695,19705,96.8,-1.7,118.5,3.2,113.0,-2.3,114.9,109.6,3610,7279,0.496,958,2560,0.374,2652,4719,0.562,0.562,1240,1628,0.762,0.17,881,25.5,2763,75.6,3644,44.4,,2415,,29.5,585,,7.1,457,,5.6,1036,,12.6,1489,18.2,9418,114.9,3,2,Western Conference Semifinals,0,0
137,2024,Minnesota Timberwolves,Target Center,82,56,26,0.683,19805,97.1,-1.4,115.6,0.3,109.0,-6.3,113.0,106.5,3383,6974,0.485,1037,2681,0.387,2346,4293,0.546,0.559,1461,1881,0.777,0.209,770,23.2,2807,76.9,3577,43.6,,2184,,26.6,647,,7.9,497,,6.1,1162,,14.2,1544,18.8,9264,113.0,4,3,Western Conference Finals,0,0
138,2024,Los Angeles Clippers,Crypto.com Arena,82,51,31,0.622,19705,97.2,-1.3,118.8,3.5,115.4,0.1,115.6,112.3,3473,7108,0.489,1036,2719,0.381,2437,4389,0.555,0.561,1499,1817,0.825,0.211,822,24.4,2701,74.8,3523,43.0,,2097,,25.6,640,,7.8,413,,5.0,1078,,13.1,1519,18.5,9481,115.6,5,4,Western Conference First Round,0,0
139,2024,Dallas Mavericks,American Airlines Center,82,50,32,0.61,19705,100.1,1.6,117.6,2.3,115.4,0.1,117.9,115.6,3535,7352,0.481,1197,3242,0.369,2338,4110,0.569,0.562,1397,1842,0.758,0.19,797,22.2,2724,75.2,3521,42.9,,2106,,25.7,563,,6.9,406,,5.0,1027,,12.5,1500,18.3,9664,117.9,7,5,Finals,1,0
140,2024,Phoenix Suns,Footprint Center,82,49,33,0.598,19780,98.3,-0.2,117.6,2.3,114.6,-0.7,116.2,113.2,3482,7063,0.493,1020,2671,0.382,2462,4392,0.561,0.565,1548,1915,0.808,0.219,831,25.0,2783,75.6,3614,44.1,,2218,,27.0,610,,7.4,492,,6.0,1221,,14.9,1475,18.0,9532,116.2,9,6,Western Conference First Round,0,0
141,2024,New Orleans Pelicans,Smoothie King Center,82,49,33,0.598,19705,97.9,-0.6,117.4,2.1,112.9,-2.4,115.1,110.7,3484,7165,0.486,1023,2673,0.383,2461,4492,0.548,0.558,1445,1873,0.771,0.202,852,24.4,2753,76.9,3605,44.0,,2210,,27.0,684,,8.3,378,,4.6,1067,,13.0,1508,18.4,9436,115.1,10,7,Western Conference First Round,0,0
142,2024,Los Angeles Lakers,Crypto.com Arena,82,47,35,0.573,19855,100.9,2.4,115.9,0.6,115.3,0.0,118.0,117.4,3580,7177,0.499,969,2572,0.377,2611,4605,0.567,0.566,1550,1983,0.782,0.216,676,19.9,2859,76.2,3535,43.1,,2340,,28.5,605,,7.4,453,,5.5,1146,,14.0,1283,15.6,9679,118.0,15,8,Western Conference First Round,0,0
143,2024,Sacramento Kings,Golden 1 Center,82,46,36,0.561,19855,98.8,0.3,116.9,1.6,115.2,-0.1,116.6,114.8,3553,7455,0.477,1178,3219,0.366,2375,4236,0.561,0.556,1274,1710,0.745,0.171,888,24.5,2719,78.4,3607,44.0,,2324,,28.3,625,,7.6,342,,4.2,1078,,13.1,1632,19.9,9558,116.6,17,9,Not Qualified,0,0
144,2024,Golden State Warriors,Chase Center,82,46,36,0.561,19830,99.2,0.7,117.8,2.5,115.2,-0.1,117.8,115.2,3582,7515,0.477,1211,3191,0.38,2371,4324,0.548,0.557,1282,1644,0.78,0.171,996,27.5,2834,76.1,3830,46.7,,2402,,29.3,572,,7.0,377,,4.6,1174,,14.3,1598,19.5,9657,117.8,18,10,Not Qualified,0,0
145,2024,Houston Rockets,Toyota Center,82,41,41,0.5,19855,99.0,0.5,114.5,-0.8,113.4,-1.9,114.3,113.2,3425,7459,0.459,1043,2964,0.352,2382,4495,0.53,0.529,1482,1916,0.773,0.199,940,25.1,2787,76.0,3727,45.5,,2035,,24.8,639,,7.8,375,,4.6,1045,,12.7,1702,20.8,9375,114.3,19,11,Not Qualified,0,0
146,2024,Utah Jazz,Delta Center,82,31,51,0.378,19805,99.5,1.0,115.5,0.2,120.4,5.1,115.7,120.5,3443,7371,0.467,1060,2993,0.354,2383,4378,0.544,0.539,1538,1853,0.83,0.209,1002,28.1,2725,75.2,3727,45.5,,2232,,27.2,537,,6.5,458,,5.6,1285,,15.7,1523,18.6,9484,115.7,23,12,Not Qualified,0,0
147,2024,Memphis Grizzlies,FedEx Forum,82,27,55,0.329,19780,98.2,-0.3,107.2,-8.1,114.3,-1.0,105.8,112.8,3145,7230,0.435,1071,3097,0.346,2074,4133,0.502,0.509,1316,1722,0.764,0.182,896,23.8,2598,74.8,3494,42.6,,2025,,24.7,673,,8.2,501,,6.1,1236,,15.1,1563,19.1,8677,105.8,24,13,Not Qualified,0,0
148,2024,San Antonio Spurs,Frost Bank Center,82,22,60,0.268,19830,101.1,2.6,110.0,-5.3,116.4,1.1,112.1,118.6,3438,7436,0.462,1036,2983,0.347,2402,4453,0.539,0.532,1280,1637,0.782,0.172,849,22.9,2778,76.4,3627,44.2,,2449,,29.9,584,,7.1,520,,6.3,1242,,15.1,1414,17.2,9192,112.1,26,14,Not Qualified,0,0
149,2024,Portland Trail Blazers,Moda Center,82,21,61,0.256,19880,97.2,-1.3,108.3,-7.0,117.5,2.2,106.4,115.4,3227,7356,0.439,939,2723,0.345,2288,4633,0.494,0.503,1329,1680,0.791,0.181,1036,27.5,2469,74.0,3505,42.7,,1894,,23.1,627,,7.6,354,,4.3,1249,,15.2,1654,20.2,8722,106.4,28,15,Not Qualified,0,0
150,2025,Cleveland Cavaliers,Rocket Arena,82,64,18,0.78,19755,99.8,1.0,121.7,7.2,112.2,-2.3,121.9,112.4,3652,7444,0.491,1303,3401,0.383,2349,4043,0.581,0.578,1392,1793,0.776,0.187,917,25.9,2806,74.8,3723,45.4,,2304,,28.1,670,,8.2,350,,4.3,1082,,13.2,1487,18.1,9999,121.9,2,1,Eastern Conference Semifinals,0,0
151,2025,Boston Celtics,TD Garden,82,61,21,0.744,19830,95.7,-3.1,120.6,6.1,111.1,-3.4,116.3,107.2,3413,7382,0.462,1457,3955,0.368,1956,3427,0.571,0.561,1251,1565,0.799,0.169,933,25.7,2783,76.0,3716,45.3,,2144,,26.1,589,,7.2,452,,5.5,973,,11.9,1303,15.9,9534,116.3,3,2,Eastern Conference Semifinals,0,0
152,2025,New York Knicks,Madison Square Garden (IV),82,51,31,0.622,19880,96.7,-2.1,118.5,4.0,114.3,-0.2,115.8,111.7,3553,7315,0.486,1031,2794,0.369,2522,4521,0.558,0.556,1357,1696,0.8,0.186,890,26.0,2607,74.5,3497,42.6,,2254,,27.5,671,,8.2,324,,4.0,1088,,13.3,1407,17.2,9494,115.8,5,3,Eastern Conference Finals,0,0
153,2025,Indiana Pacers,Gainbridge Fieldhouse,82,50,32,0.61,19855,99.9,1.1,116.5,2.0,114.3,-0.2,117.4,115.1,3574,7326,0.488,1081,2934,0.368,2493,4392,0.568,0.562,1395,1768,0.789,0.19,752,21.3,2678,74.5,3430,41.8,,2398,,29.2,694,,8.5,448,,5.5,1082,,13.2,1533,18.7,9624,117.4,6,4,Finals,1,0
154,2025,Milwaukee Bucks,Fiserv Forum,82,48,34,0.585,19755,99.3,0.5,115.9,1.4,113.4,-1.1,115.5,113.0,3445,7082,0.486,1161,3003,0.387,2284,4079,0.56,0.568,1421,1895,0.75,0.201,674,19.3,2882,76.2,3556,43.4,,2090,,25.5,601,,7.3,384,,4.7,1097,,13.4,1469,17.9,9472,115.5,11,5,Eastern Conference First Round,0,0
155,2025,Detroit Pistons,Little Caesars Arena,82,44,38,0.537,19805,99.8,1.0,115.0,0.5,113.1,-1.4,115.5,113.6,3503,7363,0.476,1051,2901,0.362,2452,4462,0.55,0.547,1414,1826,0.774,0.192,931,26.2,2739,76.0,3670,44.8,,2165,,26.4,652,,8.0,431,,5.3,1219,,14.9,1695,20.7,9471,115.5,14,6,Eastern Conference First Round,0,0
156,2025,Orlando Magic,Kia Center,82,41,41,0.5,19730,96.1,-2.7,109.4,-5.1,109.6,-4.9,105.4,105.5,3130,7034,0.445,921,2892,0.318,2209,4142,0.533,0.51,1464,1890,0.775,0.208,914,25.3,2517,77.0,3431,41.8,,1887,,23.0,729,,8.9,488,,6.0,1165,,14.2,1648,20.1,8645,105.4,15,7,Eastern Conference First Round,0,0
157,2025,Atlanta Hawks,State Farm Arena,82,40,42,0.488,19780,102.6,3.8,114.6,0.1,115.7,1.2,118.2,119.3,3556,7528,0.472,1107,3089,0.358,2449,4439,0.552,0.546,1472,1900,0.775,0.196,974,26.3,2675,76.0,3649,44.5,,2426,,29.6,798,,9.7,419,,5.1,1273,,15.5,1564,19.1,9691,118.2,16,8,Not Qualified,0,0
158,2025,Chicago Bulls,United Center,82,39,43,0.476,19755,102.8,4.0,114.1,-0.4,115.6,1.1,117.8,119.4,3543,7545,0.47,1266,3447,0.367,2277,4098,0.556,0.553,1308,1617,0.809,0.173,825,22.3,2935,76.6,3760,45.9,,2383,,29.1,621,,7.6,386,,4.7,1203,,14.7,1444,17.6,9660,117.8,18,9,Not Qualified,0,0
159,2025,Miami Heat,Kaseya Center,82,37,45,0.451,19930,96.2,-2.6,113.5,-1.0,112.9,-1.6,110.6,110.0,3318,7138,0.465,1124,3060,0.367,2194,4078,0.538,0.544,1309,1654,0.791,0.183,798,22.3,2760,75.8,3558,43.4,,2166,,26.4,668,,8.1,314,,3.8,1114,,13.6,1275,15.5,9069,110.6,20,10,Eastern Conference First Round,0,0
160,2025,Toronto Raptors,Scotiabank Arena,82,30,52,0.366,19805,99.7,0.9,110.5,-4.0,114.8,0.3,110.9,115.2,3414,7462,0.458,969,2786,0.348,2445,4676,0.523,0.522,1294,1729,0.748,0.173,1034,27.3,2666,73.9,3700,45.1,,2340,,28.5,664,,8.1,348,,4.2,1257,,15.3,1738,21.2,9091,110.9,24,11,Not Qualified,0,0
161,2025,Brooklyn Nets,Barclays Center,82,26,56,0.317,19780,96.4,-2.4,108.5,-6.0,115.8,1.3,105.1,112.2,3086,7060,0.437,1113,3232,0.344,1973,3828,0.515,0.516,1334,1696,0.787,0.189,894,24.5,2493,75.0,3387,41.3,,2063,,25.2,639,,7.8,352,,4.3,1244,,15.2,1698,20.7,8619,105.1,25,12,Not Qualified,0,0
162,2025,Philadelphia 76ers,Wells Fargo Center,82,24,58,0.293,19805,97.4,-1.4,111.9,-2.6,118.2,3.7,109.6,115.8,3254,7168,0.454,1041,3050,0.341,2213,4118,0.537,0.527,1439,1844,0.78,0.201,852,23.4,2411,71.8,3263,39.8,,1901,,23.2,752,,9.2,366,,4.5,1117,,13.6,1556,19.0,8988,109.6,26,13,Not Qualified,0,0
163,2025,Charlotte Hornets,Spectrum Center,82,19,63,0.232,19755,97.6,-1.2,107.3,-7.2,116.6,2.1,105.1,114.2,3142,7308,0.43,1065,3143,0.339,2077,4165,0.499,0.503,1269,1621,0.783,0.174,1003,26.5,2703,74.5,3706,45.2,,1994,,24.3,607,,7.4,368,,4.5,1271,,15.5,1535,18.7,8618,105.1,28,14,Not Qualified,0,0
164,2025,Washington Wizards,Capital One Arena,82,18,64,0.22,19730,100.9,2.1,106.8,-7.7,119.1,4.6,108.0,120.4,3233,7371,0.439,1075,3210,0.335,2158,4161,0.519,0.512,1315,1690,0.778,0.178,867,22.7,2716,71.9,3583,43.7,,2058,,25.1,623,,7.6,420,,5.1,1276,,15.6,1618,19.7,8856,108.0,29,15,Not Qualified,0,0
165,2025,Oklahoma City Thunder,Paycom Center,82,68,14,0.829,19705,100.0,1.2,120.3,5.8,107.5,-7.0,120.5,107.6,3660,7600,0.482,1192,3184,0.374,2468,4416,0.559,0.56,1369,1672,0.819,0.18,871,24.2,2801,74.6,3672,44.8,,2202,,26.9,847,,10.3,465,,5.7,961,,11.7,1631,19.9,9881,120.5,1,1,Finals,1,1
166,2025,Houston Rockets,Toyota Center,82,52,30,0.634,19780,98.6,-0.2,115.3,0.8,110.8,-3.7,114.3,109.8,3484,7659,0.455,1038,2938,0.353,2446,4721,0.518,0.523,1366,1851,0.738,0.178,1200,31.7,2774,76.2,3974,48.5,,1914,,23.3,689,,8.4,411,,5.0,1139,,13.9,1557,19.0,9372,114.3,4,2,Western Conference First Round,0,0
167,2025,Los Angeles Lakers,Crypto.com Arena,82,50,32,0.61,19730,97.6,-1.2,115.9,1.4,114.7,0.2,113.4,112.2,3356,7007,0.479,1092,2981,0.366,2264,4026,0.562,0.557,1494,1902,0.785,0.213,792,23.3,2687,74.5,3479,42.4,,2131,,26.0,633,,7.7,367,,4.5,1145,,14.0,1415,17.3,9298,113.4,7,3,Western Conference First Round,0,0
168,2025,Denver Nuggets,Ball Arena,82,50,32,0.61,19855,99.8,1.0,119.9,5.4,116.0,1.5,120.8,116.9,3724,7360,0.506,984,2619,0.376,2740,4741,0.578,0.573,1470,1909,0.77,0.2,919,26.7,2832,74.6,3751,45.7,,2542,,31.0,656,,8.0,402,,4.9,1169,,14.3,1444,17.6,9902,120.8,8,4,Western Conference Semifinals,0,0
169,2025,Los Angeles Clippers,Intuit Dome,82,50,32,0.61,19805,97.5,-1.3,115.1,0.6,110.3,-4.2,112.9,108.2,3409,7075,0.482,1022,2738,0.373,2387,4337,0.55,0.554,1416,1776,0.797,0.2,841,24.4,2750,77.5,3591,43.8,,2064,,25.2,773,,9.4,370,,4.5,1220,,14.9,1503,18.3,9256,112.9,9,5,Western Conference First Round,0,0
170,2025,Minnesota Timberwolves,Target Center,82,49,33,0.598,19830,97.3,-1.5,116.6,2.1,111.5,-3.0,114.3,109.3,3364,7182,0.468,1233,3269,0.377,2131,3913,0.545,0.554,1411,1789,0.789,0.196,908,25.8,2726,75.1,3634,44.3,,2142,,26.1,654,,8.0,406,,5.0,1186,,14.5,1498,18.3,9372,114.3,10,6,Western Conference Finals,0,0
171,2025,Golden State Warriors,Chase Center,82,48,34,0.585,19730,98.7,-0.1,115.0,0.5,111.7,-2.8,113.8,110.5,3342,7412,0.451,1264,3475,0.364,2078,3937,0.528,0.536,1383,1811,0.764,0.187,1029,27.3,2692,75.6,3721,45.4,,2386,,29.1,771,,9.4,391,,4.8,1152,,14.0,1571,19.2,9331,113.8,12,7,Western Conference Semifinals,0,0
172,2025,Memphis Grizzlies,FedEx Forum,82,48,34,0.585,19705,103.3,4.5,117.7,3.2,113.0,-1.5,121.7,116.9,3670,7654,0.479,1141,3106,0.367,2529,4548,0.556,0.554,1499,1908,0.786,0.196,1056,28.7,2819,74.9,3875,47.3,,2330,,28.4,726,,8.9,462,,5.6,1285,,15.7,1711,20.9,9980,121.7,13,8,Western Conference First Round,0,0
173,2025,Sacramento Kings,Golden 1 Center,82,40,42,0.488,19880,98.2,-0.6,116.7,2.2,116.2,1.7,115.7,115.3,3529,7385,0.478,1032,2887,0.357,2497,4498,0.555,0.548,1400,1738,0.806,0.19,901,25.4,2723,76.9,3624,44.2,,2169,,26.5,620,,7.6,357,,4.4,1092,,13.3,1548,18.9,9490,115.7,17,9,Not Qualified,0,0
174,2025,Dallas Mavericks,American Airlines Center,82,39,43,0.476,19730,99.2,0.4,114.8,0.3,116.0,1.5,114.2,115.4,3443,7194,0.479,1020,2801,0.364,2423,4393,0.552,0.549,1458,1894,0.77,0.203,828,23.3,2702,73.1,3530,43.0,,2070,,25.2,636,,7.8,445,,5.4,1151,,14.0,1458,17.8,9364,114.2,19,10,Not Qualified,0,0
175,2025,Phoenix Suns,Footprint Center,82,36,46,0.439,19830,97.1,-1.7,116.2,1.7,119.3,4.8,113.6,116.6,3381,7075,0.478,1176,3112,0.378,2205,3963,0.556,0.561,1379,1702,0.81,0.195,783,22.6,2701,74.1,3484,42.5,,2277,,27.8,593,,7.2,392,,4.8,1153,,14.1,1471,17.9,9317,113.6,21,11,Not Qualified,0,0
176,2025,Portland Trail Blazers,Moda Center,82,36,46,0.439,19780,98.8,0.0,111.7,-2.8,114.7,0.2,110.9,113.9,3325,7396,0.45,1057,3095,0.342,2268,4301,0.527,0.521,1386,1820,0.762,0.187,1095,29.2,2576,72.5,3671,44.8,,1952,,23.8,678,,8.3,433,,5.3,1309,,16.0,1558,19.0,9093,110.9,22,12,Not Qualified,0,0
177,2025,San Antonio Spurs,Frost Bank Center,82,34,48,0.415,19730,99.3,0.5,114.4,-0.1,117.2,2.7,113.9,116.7,3426,7362,0.465,1158,3246,0.357,2268,4116,0.551,0.544,1332,1721,0.774,0.181,896,24.3,2685,73.0,3581,43.7,,2348,,28.6,674,,8.2,455,,5.5,1138,,13.9,1363,16.6,9342,113.9,23,13,Not Qualified,0,0
178,2025,New Orleans Pelicans,Smoothie King Center,82,21,61,0.256,19755,99.1,0.3,110.4,-4.1,119.9,5.4,109.8,119.3,3332,7368,0.452,986,2839,0.347,2346,4529,0.518,0.519,1356,1799,0.754,0.184,993,26.3,2583,72.7,3576,43.6,,2119,,25.8,701,,8.5,429,,5.2,1201,,14.6,1499,18.3,9006,109.8,27,14,Not Qualified,0,0
179,2025,Utah Jazz,Delta Center,82,17,65,0.207,19805,100.0,1.2,111.2,-3.3,120.4,5.9,111.9,121.2,3305,7272,0.454,1144,3267,0.35,2161,4005,0.54,0.533,1421,1836,0.774,0.195,983,26.9,2741,74.1,3724,45.4,,2093,,25.5,555,,6.8,360,,4.4,1412,,17.2,1549,18.9,9175,111.9,30,15,Not Qualified,0,0
